region,age,age_group,gender,language,education,income,response
Zaporizhzhya Oblast,29,25-34,male,russian,secondary,<30000,flee
Crimea,26,25-34,male,russian,secondary,<30000,flee
Kyiv City,25,25-34,male,russian,bachelors,<30000,different
Odessa,47,45-54,male,ukrainian,secondary,<30000,stay
Donetsk Oblast,26,25-34,female,russian,masters-or-higher,<30000,different
Kherson Oblast,18,16-24,female,ukrainian,bachelors,<30000,flee
Lviv Oblast,19,16-24,female,ukrainian,bachelors,<30000,different
Odessa,16,16-24,male,russian,primary,<30000,flee
Crimea,33,25-34,male,russian,primary,<30000,different
Zaporizhzhya Oblast,19,16-24,female,ukrainian,secondary,<30000,flee
Poltava Oblast,44,35-44,male,russian,primary,<30000,stay
Ternopil Oblast,25,25-34,female,ukrainian,bachelors,<30000,different
Dnipropetrovsk Oblast,50,45-54,female,ukrainian,secondary,<30000,stay
Kherson Oblast,23,16-24,male,russian,primary,<30000,flee
Ivano-Frankivsk Oblast,19,16-24,male,ukrainian,primary,<30000,stay
Ivano-Frankivsk Oblast,21,16-24,female,russian,secondary,<30000,stay
Odessa,36,35-44,male,ukrainian,bachelors,<30000,stay
Dnipropetrovsk Oblast,49,45-54,male,ukrainian,post-secondary,<30000,stay
Kyiv City,32,25-34,female,ukrainian,masters-or-higher,<30000,stay
Ivano-Frankivsk Oblast,18,16-24,female,ukrainian,post-secondary,<30000,stay
Chernivtsi Oblast,22,16-24,female,ukrainian,bachelors,<30000,different
Vinnytsya Oblast,28,25-34,female,ukrainian,masters-or-higher,<30000,different
Lviv Oblast,21,16-24,female,ukrainian,masters-or-higher,<30000,stay
Luhansk,58,55-64,male,russian,secondary,<30000,different
Kyiv City,51,45-54,male,russian,bachelors,<30000,different
Rivne,27,25-34,female,ukrainian,masters-or-higher,<30000,stay
Kyiv City,46,45-54,female,ukrainian,masters-or-higher,<30000,stay
Donetsk Oblast,31,25-34,male,ukrainian,secondary,<30000,flee
Kyiv Oblast,20,16-24,female,ukrainian,bachelors,<30000,different
Chernivtsi Oblast,19,16-24,female,ukrainian,secondary,<30000,different
Zaporizhzhya Oblast,37,35-44,male,ukrainian,bachelors,<30000,stay
Kyiv City,18,16-24,female,ukrainian,post-secondary,<30000,different
Kyiv City,36,35-44,male,russian,masters-or-higher,<30000,different
Volyn,20,16-24,female,ukrainian,secondary,<30000,stay
Donetsk Oblast,57,55-64,female,russian,post-secondary,<30000,flee
Ivano-Frankivsk Oblast,16,16-24,female,ukrainian,post-secondary,<30000,stay
Kirovohrad Oblast,42,35-44,male,ukrainian,post-secondary,<30000,stay
Kirovohrad Oblast,24,16-24,female,ukrainian,masters-or-higher,<30000,different
Mykolayiv Oblast,26,25-34,male,ukrainian,primary,<30000,flee
Luhansk,39,35-44,male,russian,bachelors,<30000,flee
Vinnytsya Oblast,36,35-44,male,ukrainian,masters-or-higher,<30000,flee
Rivne,18,16-24,male,ukrainian,secondary,<30000,different
Poltava Oblast,26,25-34,male,ukrainian,primary,<30000,flee
Kyiv City,20,16-24,female,ukrainian,bachelors,<30000,flee
Vinnytsya Oblast,18,16-24,female,ukrainian,secondary,<30000,stay
Kharkiv,20,16-24,female,ukrainian,post-secondary,<30000,stay
Cherkasy Oblast,58,55-64,female,ukrainian,masters-or-higher,<30000,flee
Kyiv City,46,45-54,female,russian,bachelors,<30000,stay
Transcarpathia,31,25-34,female,ukrainian,secondary,<30000,different
Kyiv City,98,65+,male,ukrainian,masters-or-higher,<30000,stay
Luhansk,40,35-44,female,russian,bachelors,<30000,different
Cherkasy Oblast,33,25-34,female,ukrainian,primary,<30000,flee
Donetsk Oblast,18,16-24,female,ukrainian,secondary,<30000,flee
Vinnytsya Oblast,44,35-44,female,ukrainian,post-secondary,<30000,different
Dnipropetrovsk Oblast,35,35-44,female,russian,primary,<30000,different
Kyiv City,29,25-34,male,ukrainian,masters-or-higher,<30000,stay
Kyiv City,25,25-34,female,ukrainian,masters-or-higher,<30000,stay
Dnipropetrovsk Oblast,22,16-24,male,russian,primary,<30000,flee
Kirovohrad Oblast,28,25-34,male,ukrainian,masters-or-higher,<30000,stay
Transcarpathia,22,16-24,male,russian,bachelors,<30000,stay
Ivano-Frankivsk Oblast,40,35-44,male,ukrainian,masters-or-higher,<30000,different
Kyiv City,25,25-34,male,ukrainian,primary,<30000,flee
Odessa,20,16-24,male,russian,bachelors,<30000,stay
Kyiv City,23,16-24,female,ukrainian,bachelors,<30000,stay
Kharkiv,18,16-24,male,ukrainian,secondary,<30000,flee
Donetsk Oblast,31,25-34,female,ukrainian,post-secondary,<30000,stay
Transcarpathia,18,16-24,female,ukrainian,primary,<30000,stay
Mykolayiv Oblast,22,16-24,male,russian,masters-or-higher,<30000,stay
Kyiv City,16,16-24,female,ukrainian,secondary,<30000,stay
Zaporizhzhya Oblast,40,35-44,male,russian,post-secondary,<30000,different
Vinnytsya Oblast,22,16-24,male,russian,bachelors,<30000,flee
Kyiv City,34,25-34,male,ukrainian,primary,<30000,flee
Mykolayiv Oblast,21,16-24,female,ukrainian,bachelors,<30000,stay
Donetsk Oblast,25,25-34,male,russian,primary,<30000,stay
Zhytomyr,20,16-24,male,ukrainian,bachelors,<30000,different
Luhansk,22,16-24,female,ukrainian,bachelors,<30000,flee
Kharkiv,20,16-24,male,russian,post-secondary,<30000,different
Sumy,23,16-24,male,russian,primary,<30000,flee
Lviv Oblast,56,55-64,male,ukrainian,masters-or-higher,<30000,stay
Vinnytsya Oblast,24,16-24,male,ukrainian,post-secondary,<30000,different
Lviv Oblast,25,25-34,male,ukrainian,masters-or-higher,<30000,flee
Kyiv City,45,45-54,male,ukrainian,primary,<30000,flee
Odessa,28,25-34,male,russian,post-secondary,<30000,flee
Dnipropetrovsk Oblast,28,25-34,male,russian,secondary,<30000,flee
Donetsk Oblast,35,35-44,male,ukrainian,secondary,<30000,stay
Vinnytsya Oblast,62,55-64,female,ukrainian,bachelors,<30000,different
Dnipropetrovsk Oblast,29,25-34,male,russian,primary,<30000,flee
Vinnytsya Oblast,34,25-34,male,ukrainian,masters-or-higher,<30000,flee
Dnipropetrovsk Oblast,48,45-54,male,ukrainian,masters-or-higher,<30000,stay
Donetsk Oblast,45,45-54,male,russian,secondary,<30000,stay
Donetsk Oblast,45,45-54,male,russian,secondary,<30000,stay
Zhytomyr,23,16-24,female,ukrainian,primary,<30000,stay
Vinnytsya Oblast,52,45-54,male,russian,post-secondary,<30000,stay
Vinnytsya Oblast,26,25-34,female,ukrainian,bachelors,<30000,stay
Zaporizhzhya Oblast,19,16-24,female,ukrainian,secondary,<30000,flee
Kyiv City,42,35-44,male,ukrainian,secondary,<30000,different
Kyiv City,44,35-44,male,ukrainian,primary,<30000,stay
Zaporizhzhya Oblast,21,16-24,female,russian,bachelors,<30000,stay
Vinnytsya Oblast,21,16-24,male,russian,primary,<30000,stay
Chernihiv,20,16-24,female,ukrainian,primary,<30000,stay
Kyiv Oblast,98,65+,male,ukrainian,bachelors,<30000,stay
Zaporizhzhya Oblast,26,25-34,male,russian,primary,<30000,stay
Dnipropetrovsk Oblast,61,55-64,male,ukrainian,secondary,<30000,stay
Odessa,33,25-34,male,russian,secondary,<30000,stay
Dnipropetrovsk Oblast,25,25-34,male,ukrainian,secondary,<30000,stay
Volyn,20,16-24,male,ukrainian,masters-or-higher,<30000,stay
Dnipropetrovsk Oblast,21,16-24,female,ukrainian,bachelors,<30000,flee
Sebastopol City,25,25-34,male,ukrainian,secondary,<30000,flee
Kirovohrad Oblast,33,25-34,male,russian,primary,<30000,different
Vinnytsya Oblast,44,35-44,male,russian,primary,<30000,different
Kyiv City,25,25-34,male,ukrainian,bachelors,<30000,stay
Kyiv City,44,35-44,male,ukrainian,masters-or-higher,<30000,different
Vinnytsya Oblast,40,35-44,female,ukrainian,post-secondary,<30000,different
Kyiv City,18,16-24,female,ukrainian,secondary,<30000,different
Kyiv City,34,25-34,female,ukrainian,secondary,<30000,stay
Cherkasy Oblast,53,45-54,female,ukrainian,post-secondary,<30000,stay
Rivne,22,16-24,male,ukrainian,post-secondary,<30000,flee
Odessa,28,25-34,male,ukrainian,secondary,<30000,different
Sumy,39,35-44,male,ukrainian,bachelors,<30000,stay
Kherson Oblast,43,35-44,male,russian,secondary,<30000,flee
Khmelnytskyi Oblast,34,25-34,male,ukrainian,bachelors,<30000,flee
Dnipropetrovsk Oblast,27,25-34,male,russian,primary,<30000,flee
Mykolayiv Oblast,98,65+,male,russian,masters-or-higher,<30000,different
Luhansk,39,35-44,male,russian,masters-or-higher,<30000,flee
Kherson Oblast,38,35-44,male,russian,bachelors,<30000,stay
Kyiv City,17,16-24,female,ukrainian,masters-or-higher,<30000,different
Volyn,34,25-34,female,russian,masters-or-higher,<30000,different
Dnipropetrovsk Oblast,26,25-34,female,russian,primary,<30000,flee
Sumy,23,16-24,male,ukrainian,post-secondary,<30000,flee
Kyiv City,21,16-24,female,ukrainian,bachelors,<30000,flee
Zaporizhzhya Oblast,16,16-24,female,russian,secondary,<30000,flee
Dnipropetrovsk Oblast,17,16-24,male,russian,secondary,<30000,flee
Kyiv City,98,65+,male,ukrainian,masters-or-higher,<30000,stay
Kirovohrad Oblast,54,45-54,male,ukrainian,secondary,<30000,stay
Kirovohrad Oblast,51,45-54,male,ukrainian,secondary,<30000,stay
Chernihiv,98,65+,male,russian,bachelors,<30000,stay
Odessa,28,25-34,male,ukrainian,secondary,<30000,flee
Lviv Oblast,23,16-24,female,russian,masters-or-higher,<30000,different
Lviv Oblast,21,16-24,male,ukrainian,post-secondary,<30000,stay
Vinnytsya Oblast,22,16-24,male,ukrainian,post-secondary,<30000,different
Odessa,27,25-34,male,russian,primary,<30000,flee
Vinnytsya Oblast,16,16-24,female,russian,masters-or-higher,<30000,flee
Chernivtsi Oblast,42,35-44,male,ukrainian,bachelors,<30000,stay
Kyiv City,21,16-24,female,ukrainian,masters-or-higher,<30000,flee
Kyiv City,19,16-24,female,ukrainian,masters-or-higher,<30000,stay
Crimea,98,65+,male,russian,secondary,<30000,different
Lviv Oblast,18,16-24,male,ukrainian,secondary,<30000,stay
Vinnytsya Oblast,27,25-34,female,russian,bachelors,<30000,flee
Vinnytsya Oblast,37,35-44,female,ukrainian,secondary,<30000,stay
Mykolayiv Oblast,21,16-24,female,ukrainian,bachelors,<30000,flee
Kirovohrad Oblast,34,25-34,female,ukrainian,bachelors,<30000,stay
Kyiv City,52,45-54,male,ukrainian,masters-or-higher,<30000,different
Kyiv City,52,45-54,male,ukrainian,post-secondary,<30000,flee
Volyn,21,16-24,female,ukrainian,bachelors,<30000,stay
Kyiv City,19,16-24,female,ukrainian,secondary,<30000,stay
Sebastopol City,41,35-44,male,russian,secondary,<30000,different
Dnipropetrovsk Oblast,31,25-34,male,russian,post-secondary,<30000,stay
Kyiv City,36,35-44,male,russian,bachelors,<30000,flee
Ivano-Frankivsk Oblast,54,45-54,male,ukrainian,masters-or-higher,<30000,stay
Sumy,19,16-24,male,russian,primary,<30000,stay
Dnipropetrovsk Oblast,21,16-24,male,ukrainian,bachelors,<30000,stay
Zaporizhzhya Oblast,16,16-24,male,russian,primary,<30000,stay
Kyiv City,17,16-24,female,ukrainian,post-secondary,<30000,different
Zaporizhzhya Oblast,16,16-24,male,russian,primary,<30000,flee
Odessa,45,45-54,female,ukrainian,masters-or-higher,<30000,different
Mykolayiv Oblast,28,25-34,male,ukrainian,primary,<30000,stay
Vinnytsya Oblast,18,16-24,female,ukrainian,secondary,<30000,stay
Luhansk,23,16-24,female,russian,masters-or-higher,<30000,stay
Dnipropetrovsk Oblast,36,35-44,female,russian,post-secondary,<30000,stay
Luhansk,45,45-54,male,russian,masters-or-higher,<30000,stay
Odessa,36,35-44,female,russian,primary,<30000,flee
Lviv Oblast,26,25-34,male,russian,secondary,<30000,stay
Kharkiv,98,65+,female,russian,masters-or-higher,<30000,flee
Chernihiv,16,16-24,male,russian,primary,<30000,stay
Odessa,46,45-54,female,russian,post-secondary,<30000,different
Ivano-Frankivsk Oblast,30,25-34,female,ukrainian,bachelors,<30000,stay
Kyiv City,50,45-54,female,ukrainian,primary,<30000,stay
Kyiv City,25,25-34,male,ukrainian,masters-or-higher,<30000,stay
Lviv Oblast,50,45-54,male,ukrainian,masters-or-higher,<30000,flee
Lviv Oblast,58,55-64,male,ukrainian,masters-or-higher,<30000,different
Vinnytsya Oblast,25,25-34,male,ukrainian,primary,<30000,stay
Kirovohrad Oblast,45,45-54,female,ukrainian,post-secondary,<30000,flee
Ivano-Frankivsk Oblast,23,16-24,male,ukrainian,bachelors,<30000,different
Kharkiv,61,55-64,female,russian,masters-or-higher,<30000,stay
Kyiv Oblast,28,25-34,male,ukrainian,masters-or-higher,<30000,stay
Sebastopol City,28,25-34,male,russian,secondary,<30000,flee
Kyiv City,20,16-24,male,russian,primary,<30000,flee
Dnipropetrovsk Oblast,98,65+,male,russian,primary,<30000,stay
Luhansk,35,35-44,female,russian,primary,<30000,flee
Zaporizhzhya Oblast,19,16-24,male,russian,post-secondary,<30000,stay
Donetsk Oblast,35,35-44,male,russian,primary,<30000,flee
Donetsk Oblast,40,35-44,male,russian,post-secondary,<30000,flee
Odessa,42,35-44,female,russian,secondary,<30000,different
Dnipropetrovsk Oblast,41,35-44,female,russian,masters-or-higher,<30000,different
Kharkiv,36,35-44,male,russian,secondary,<30000,different
Dnipropetrovsk Oblast,19,16-24,female,ukrainian,secondary,<30000,flee
Dnipropetrovsk Oblast,23,16-24,female,ukrainian,bachelors,<30000,flee
Donetsk Oblast,19,16-24,female,russian,secondary,<30000,flee
Lviv Oblast,32,25-34,male,russian,primary,<30000,flee
Vinnytsya Oblast,38,35-44,male,ukrainian,bachelors,<30000,stay
Zaporizhzhya Oblast,37,35-44,female,russian,bachelors,<30000,flee
Kyiv City,21,16-24,female,ukrainian,bachelors,<30000,flee
Kyiv City,36,35-44,male,ukrainian,primary,<30000,flee
Kyiv Oblast,21,16-24,female,ukrainian,post-secondary,<30000,stay
Kyiv City,50,45-54,female,ukrainian,bachelors,<30000,stay
Kyiv City,18,16-24,female,ukrainian,secondary,<30000,different
Sumy,16,16-24,male,russian,secondary,<30000,different
Mykolayiv Oblast,35,35-44,male,russian,post-secondary,<30000,stay
Kyiv City,18,16-24,male,russian,primary,<30000,different
Zaporizhzhya Oblast,98,65+,male,russian,bachelors,<30000,stay
Kyiv City,61,55-64,male,russian,masters-or-higher,<30000,stay
Kyiv City,43,35-44,male,russian,masters-or-higher,<30000,flee
Luhansk,98,65+,male,russian,primary,<30000,flee
Lviv Oblast,31,25-34,female,ukrainian,bachelors,<30000,stay
Lviv Oblast,41,35-44,male,russian,post-secondary,<30000,stay
Dnipropetrovsk Oblast,18,16-24,male,russian,bachelors,<30000,flee
Vinnytsya Oblast,46,45-54,male,russian,secondary,<30000,stay
Dnipropetrovsk Oblast,33,25-34,female,russian,primary,<30000,stay
Kyiv City,29,25-34,male,ukrainian,bachelors,<30000,flee
Kyiv City,42,35-44,male,russian,secondary,<30000,flee
Vinnytsya Oblast,47,45-54,male,russian,secondary,<30000,stay
Kyiv City,98,65+,male,russian,secondary,<30000,stay
Rivne,18,16-24,female,russian,bachelors,<30000,stay
Ternopil Oblast,19,16-24,male,ukrainian,post-secondary,<30000,stay
Kyiv City,98,65+,male,ukrainian,bachelors,<30000,different
Kharkiv,53,45-54,male,russian,secondary,<30000,stay
Kyiv City,61,55-64,male,russian,masters-or-higher,<30000,stay
Dnipropetrovsk Oblast,27,25-34,male,ukrainian,post-secondary,<30000,stay
Ivano-Frankivsk Oblast,19,16-24,female,ukrainian,post-secondary,<30000,flee
Vinnytsya Oblast,18,16-24,male,russian,secondary,<30000,stay
Mykolayiv Oblast,62,55-64,male,ukrainian,masters-or-higher,<30000,different
Kyiv City,53,45-54,male,russian,post-secondary,<30000,stay
Dnipropetrovsk Oblast,22,16-24,male,russian,bachelors,<30000,different
Luhansk,18,16-24,male,russian,primary,<30000,flee
Kyiv City,33,25-34,male,ukrainian,bachelors,<30000,stay
Kyiv City,50,45-54,male,russian,post-secondary,<30000,stay
Dnipropetrovsk Oblast,26,25-34,female,russian,secondary,<30000,stay
Kyiv City,63,55-64,female,ukrainian,post-secondary,<30000,stay
Odessa,29,25-34,male,russian,secondary,<30000,different
Lviv Oblast,25,25-34,female,ukrainian,masters-or-higher,<30000,flee
Kyiv City,22,16-24,male,ukrainian,primary,<30000,flee
Ternopil Oblast,32,25-34,female,ukrainian,bachelors,<30000,stay
Dnipropetrovsk Oblast,98,65+,male,ukrainian,masters-or-higher,<30000,stay
Kyiv City,98,65+,male,ukrainian,masters-or-higher,<30000,stay
Kharkiv,57,55-64,male,russian,bachelors,<30000,flee
Luhansk,37,35-44,male,russian,masters-or-higher,<30000,stay
Kyiv City,57,55-64,male,ukrainian,masters-or-higher,<30000,stay
Odessa,30,25-34,female,ukrainian,post-secondary,<30000,different
Dnipropetrovsk Oblast,34,25-34,male,ukrainian,masters-or-higher,<30000,stay
Vinnytsya Oblast,23,16-24,male,ukrainian,post-secondary,<30000,stay
Kyiv Oblast,20,16-24,male,ukrainian,secondary,<30000,different
Kyiv City,33,25-34,female,ukrainian,masters-or-higher,<30000,stay
Kyiv City,56,55-64,female,russian,masters-or-higher,<30000,flee
Vinnytsya Oblast,31,25-34,male,ukrainian,masters-or-higher,<30000,stay
Rivne,18,16-24,male,ukrainian,secondary,<30000,stay
Donetsk Oblast,57,55-64,male,russian,post-secondary,<30000,different
Chernihiv,60,55-64,female,ukrainian,post-secondary,<30000,different
Kyiv City,38,35-44,female,ukrainian,masters-or-higher,<30000,flee
Zaporizhzhya Oblast,31,25-34,male,russian,post-secondary,<30000,different
Kyiv City,18,16-24,male,ukrainian,secondary,<30000,flee
Sumy,43,35-44,male,ukrainian,post-secondary,<30000,stay
Zaporizhzhya Oblast,20,16-24,male,ukrainian,post-secondary,<30000,flee
Kirovohrad Oblast,64,55-64,female,ukrainian,primary,<30000,stay
Luhansk,98,65+,female,russian,primary,<30000,flee
Kyiv City,98,65+,male,ukrainian,post-secondary,<30000,stay
Chernivtsi Oblast,28,25-34,male,ukrainian,bachelors,<30000,stay
Kyiv City,63,55-64,male,ukrainian,secondary,<30000,stay
Kherson Oblast,59,55-64,male,ukrainian,post-secondary,<30000,different
Kyiv City,40,35-44,male,ukrainian,masters-or-higher,<30000,stay
Kirovohrad Oblast,98,65+,female,ukrainian,bachelors,<30000,stay
Ivano-Frankivsk Oblast,31,25-34,female,ukrainian,secondary,<30000,stay
Donetsk Oblast,48,45-54,male,russian,post-secondary,<30000,flee
Chernivtsi Oblast,56,55-64,male,ukrainian,post-secondary,<30000,flee
Rivne,18,16-24,female,russian,secondary,<30000,stay
Dnipropetrovsk Oblast,20,16-24,male,ukrainian,secondary,<30000,stay
Dnipropetrovsk Oblast,23,16-24,female,russian,post-secondary,<30000,stay
Donetsk Oblast,98,65+,female,russian,post-secondary,<30000,different
Lviv Oblast,43,35-44,female,russian,bachelors,<30000,different
Crimea,55,55-64,male,russian,post-secondary,<30000,flee
Volyn,98,65+,female,ukrainian,bachelors,<30000,flee
Poltava Oblast,23,16-24,male,ukrainian,secondary,<30000,different
Sumy,52,45-54,male,ukrainian,masters-or-higher,<30000,flee
Donetsk Oblast,39,35-44,male,russian,secondary,<30000,flee
Odessa,38,35-44,male,russian,primary,<30000,different
Kyiv Oblast,38,35-44,male,russian,secondary,<30000,stay
Sebastopol City,98,65+,female,russian,post-secondary,<30000,different
Zaporizhzhya Oblast,98,65+,female,ukrainian,post-secondary,<30000,flee
Poltava Oblast,27,25-34,female,ukrainian,bachelors,<30000,flee
Kyiv City,52,45-54,male,russian,post-secondary,<30000,stay
Transcarpathia,62,55-64,female,ukrainian,masters-or-higher,<30000,different
Vinnytsya Oblast,18,16-24,male,ukrainian,masters-or-higher,<30000,different
Chernivtsi Oblast,35,35-44,male,ukrainian,masters-or-higher,<30000,stay
Kherson Oblast,20,16-24,female,russian,post-secondary,<30000,flee
Vinnytsya Oblast,26,25-34,female,ukrainian,bachelors,<30000,different
Donetsk Oblast,53,45-54,male,russian,post-secondary,<30000,different
Odessa,28,25-34,male,ukrainian,post-secondary,<30000,different
Vinnytsya Oblast,40,35-44,male,ukrainian,secondary,<30000,stay
Dnipropetrovsk Oblast,30,25-34,male,ukrainian,secondary,<30000,flee
Kyiv City,42,35-44,female,russian,secondary,<30000,stay
Odessa,98,65+,male,ukrainian,secondary,<30000,stay
Kyiv City,55,55-64,male,russian,post-secondary,<30000,different
Vinnytsya Oblast,40,35-44,female,ukrainian,bachelors,<30000,stay
Dnipropetrovsk Oblast,98,65+,female,ukrainian,primary,<30000,different
Kyiv City,18,16-24,male,ukrainian,post-secondary,<30000,stay
Dnipropetrovsk Oblast,45,45-54,male,russian,bachelors,<30000,stay
Sumy,42,35-44,male,russian,post-secondary,<30000,flee
Chernivtsi Oblast,47,45-54,male,ukrainian,primary,<30000,different
Volyn,33,25-34,female,ukrainian,masters-or-higher,<30000,stay
Dnipropetrovsk Oblast,30,25-34,male,ukrainian,post-secondary,<30000,flee
Donetsk Oblast,26,25-34,male,russian,post-secondary,<30000,different
Zaporizhzhya Oblast,47,45-54,male,russian,secondary,<30000,stay
Donetsk Oblast,40,35-44,female,russian,secondary,<30000,stay
Odessa,34,25-34,female,ukrainian,secondary,<30000,different
Mykolayiv Oblast,43,35-44,male,russian,secondary,<30000,different
Kyiv City,21,16-24,female,ukrainian,bachelors,<30000,different
Kherson Oblast,18,16-24,female,ukrainian,bachelors,<30000,different
Poltava Oblast,26,25-34,male,ukrainian,masters-or-higher,<30000,stay
Lviv Oblast,63,55-64,female,russian,post-secondary,<30000,stay
Chernivtsi Oblast,18,16-24,male,ukrainian,masters-or-higher,<30000,flee
Dnipropetrovsk Oblast,18,16-24,male,ukrainian,secondary,<30000,flee
Odessa,62,55-64,male,russian,post-secondary,<30000,stay
Kyiv City,26,25-34,male,ukrainian,secondary,<30000,flee
Dnipropetrovsk Oblast,22,16-24,male,russian,bachelors,<30000,different
Lviv Oblast,29,25-34,male,ukrainian,bachelors,<30000,flee
Rivne,34,25-34,male,ukrainian,masters-or-higher,<30000,stay
Zaporizhzhya Oblast,27,25-34,female,russian,secondary,<30000,different
Kyiv Oblast,19,16-24,female,ukrainian,primary,<30000,different
Sumy,56,55-64,female,ukrainian,post-secondary,<30000,stay
Sumy,21,16-24,male,russian,primary,<30000,different
Donetsk Oblast,40,35-44,male,russian,secondary,<30000,flee
Zaporizhzhya Oblast,35,35-44,female,ukrainian,primary,<30000,flee
Cherkasy Oblast,29,25-34,male,russian,bachelors,<30000,stay
Odessa,19,16-24,male,ukrainian,secondary,<30000,different
Ternopil Oblast,23,16-24,male,ukrainian,masters-or-higher,<30000,flee
Donetsk Oblast,36,35-44,male,russian,post-secondary,<30000,different
Kharkiv,98,65+,female,ukrainian,post-secondary,<30000,stay
Sumy,55,55-64,male,ukrainian,masters-or-higher,<30000,flee
Kharkiv,98,65+,male,russian,post-secondary,<30000,flee
Odessa,98,65+,male,ukrainian,post-secondary,<30000,stay
Dnipropetrovsk Oblast,98,65+,male,russian,bachelors,<30000,flee
Dnipropetrovsk Oblast,16,16-24,male,russian,secondary,<30000,different
Transcarpathia,35,35-44,male,russian,secondary,<30000,different
Ternopil Oblast,28,25-34,male,ukrainian,masters-or-higher,<30000,stay
Kharkiv,30,25-34,male,russian,post-secondary,<30000,flee
Kirovohrad Oblast,35,35-44,female,russian,post-secondary,<30000,flee
Dnipropetrovsk Oblast,47,45-54,male,ukrainian,post-secondary,<30000,stay
Kirovohrad Oblast,47,45-54,female,ukrainian,secondary,<30000,stay
Zaporizhzhya Oblast,17,16-24,male,ukrainian,primary,<30000,different
Dnipropetrovsk Oblast,17,16-24,male,ukrainian,secondary,<30000,stay
Sumy,98,65+,male,ukrainian,secondary,<30000,different
Khmelnytskyi Oblast,29,25-34,male,ukrainian,primary,<30000,stay
Lviv Oblast,38,35-44,male,ukrainian,bachelors,<30000,flee
Lviv Oblast,59,55-64,male,ukrainian,masters-or-higher,<30000,stay
Poltava Oblast,43,35-44,male,ukrainian,post-secondary,<30000,stay
Vinnytsya Oblast,16,16-24,male,ukrainian,primary,<30000,different
Sumy,18,16-24,male,ukrainian,secondary,<30000,stay
Kirovohrad Oblast,48,45-54,male,ukrainian,primary,<30000,flee
Cherkasy Oblast,36,35-44,male,ukrainian,masters-or-higher,<30000,different
Kyiv City,51,45-54,male,russian,bachelors,<30000,stay
Chernihiv,33,25-34,female,ukrainian,bachelors,<30000,stay
Kyiv City,51,45-54,male,russian,primary,<30000,flee
Cherkasy Oblast,27,25-34,male,ukrainian,masters-or-higher,<30000,flee
Dnipropetrovsk Oblast,46,45-54,male,russian,masters-or-higher,<30000,stay
Donetsk Oblast,25,25-34,female,russian,primary,<30000,flee
Dnipropetrovsk Oblast,48,45-54,female,ukrainian,masters-or-higher,<30000,stay
Kyiv City,42,35-44,male,ukrainian,primary,<30000,stay
Sumy,56,55-64,male,russian,masters-or-higher,<30000,flee
Odessa,51,45-54,female,russian,post-secondary,<30000,stay
Chernivtsi Oblast,29,25-34,male,ukrainian,masters-or-higher,<30000,different
Vinnytsya Oblast,18,16-24,male,russian,masters-or-higher,<30000,stay
Mykolayiv Oblast,44,35-44,female,ukrainian,post-secondary,<30000,stay
Donetsk Oblast,36,35-44,male,ukrainian,bachelors,<30000,stay
Kyiv City,40,35-44,female,ukrainian,post-secondary,<30000,flee
Dnipropetrovsk Oblast,35,35-44,male,ukrainian,secondary,<30000,stay
Vinnytsya Oblast,19,16-24,male,ukrainian,masters-or-higher,<30000,stay
Volyn,25,25-34,male,russian,secondary,<30000,stay
Kyiv City,20,16-24,male,ukrainian,secondary,<30000,flee
Kherson Oblast,56,55-64,male,russian,masters-or-higher,<30000,stay
Dnipropetrovsk Oblast,98,65+,female,ukrainian,bachelors,<30000,stay
Ivano-Frankivsk Oblast,16,16-24,male,ukrainian,secondary,<30000,stay
Kyiv City,54,45-54,male,ukrainian,post-secondary,<30000,different
Vinnytsya Oblast,27,25-34,male,ukrainian,masters-or-higher,<30000,flee
Mykolayiv Oblast,34,25-34,female,ukrainian,bachelors,<30000,flee
Kyiv City,16,16-24,female,ukrainian,secondary,<30000,stay
Poltava Oblast,45,45-54,female,ukrainian,post-secondary,<30000,stay
Kirovohrad Oblast,37,35-44,male,ukrainian,bachelors,<30000,stay
Poltava Oblast,19,16-24,male,ukrainian,post-secondary,<30000,different
Dnipropetrovsk Oblast,44,35-44,male,ukrainian,bachelors,<30000,flee
Lviv Oblast,98,65+,male,ukrainian,post-secondary,<30000,flee
Vinnytsya Oblast,16,16-24,female,ukrainian,masters-or-higher,<30000,stay
Kyiv Oblast,23,16-24,male,ukrainian,bachelors,<30000,different
Vinnytsya Oblast,51,45-54,female,ukrainian,secondary,<30000,flee
Dnipropetrovsk Oblast,24,16-24,male,russian,masters-or-higher,<30000,stay
Ternopil Oblast,22,16-24,male,ukrainian,bachelors,<30000,flee
Vinnytsya Oblast,36,35-44,male,ukrainian,bachelors,<30000,flee
Kirovohrad Oblast,18,16-24,female,ukrainian,secondary,<30000,stay
Kyiv City,49,45-54,male,ukrainian,masters-or-higher,<30000,stay
Zhytomyr,21,16-24,female,ukrainian,bachelors,<30000,stay
Cherkasy Oblast,21,16-24,male,ukrainian,bachelors,<30000,stay
Kharkiv,57,55-64,male,russian,masters-or-higher,<30000,different
Khmelnytskyi Oblast,22,16-24,male,ukrainian,bachelors,<30000,different
Dnipropetrovsk Oblast,16,16-24,male,ukrainian,secondary,<30000,different
Mykolayiv Oblast,18,16-24,female,russian,post-secondary,<30000,different
Cherkasy Oblast,37,35-44,female,ukrainian,masters-or-higher,<30000,stay
Zaporizhzhya Oblast,19,16-24,female,ukrainian,secondary,<30000,stay
